ID	geneSymbol	splicing_event_type	IncLevelDifference	FDR	sig	neglog10fdr	label
20817	Actl6b	A3SS	-0.427	0.0957028973196608	n.s.	1.01907491414694	NA
21660	Coq2	A3SS	-0.425	0.865561211609077	n.s.	0.0627022138382276	NA
23158	Fbxo6	A3SS	0.667	0.584454804312443	n.s.	0.233249067045536	NA
25551	Me3	A3SS	0.852	1.17818411427205e-06	n.s.	5.92878683725314	NA
27153	Rnf40	A3SS	-0.413	0.207173652490655	n.s.	0.683665477235202	NA
28581	Surf1	A3SS	0.36	0.207173652490655	n.s.	0.683665477235202	NA
28584	Surf1	A3SS	0.631	0.000269765780152875	Up in Saline	3.56901314151856	NA
28752	Pxn	A3SS	0.382	0.901502507273229	n.s.	0.0450330610731226	NA
30335	Chst1	A3SS	0.523	0.0305219253255418	n.s.	1.51538807452169	NA
32509	Ptges2	A3SS	0.553	0.71113700472886	n.s.	0.148046721821824	NA
33880	Mia3	A3SS	-0.624	0.15245563342413	n.s.	0.816856523284095	NA
34697	Cacna1b	A3SS	-0.506	0.461274871407088	n.s.	0.336040203545842	NA
35228	Dgkz	A3SS	-0.381	0.141500377420622	n.s.	0.84924240175471	NA
37109	Appl2	A3SS	-0.492	0.076907823351145	n.s.	1.11402947989407	NA
37604	Commd4	A3SS	0.553	0.0772442304813435	n.s.	1.11213394897355	NA
37802	Cc2d1b	A3SS	-0.655	0.0156778139828096	n.s.	1.80471449276048	NA
