p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.08945169911542e-301	1.24048594832521	0.523	0.237	8.95088505252976e-297	Oligodendrocyte_lineage	Vbp1
6.19812251065859e-301	1.6288522754693	0.347	0.107	9.11062027841707e-297	Oligodendrocyte_lineage	Nudt4
1.60501913909197e-300	2.20862347208898	0.27	0.061	2.35921763255128e-296	Oligodendrocyte_lineage	Enpp4
8.20997366671937e-297	1.33255762253186	0.364	0.113	1.20678402927108e-292	Oligodendrocyte_lineage	Hist3h2ba
1.51218747952949e-294	1.04377317344223	0.656	0.379	2.2227643761604e-290	Oligodendrocyte_lineage	Anapc11
3.1931712809179e-294	1.52215690338089	0.413	0.156	4.69364246582123e-290	Oligodendrocyte_lineage	Ppp2r2a
1.12184800200785e-293	0.816150944243246	0.798	0.549	1.64900437815134e-289	Oligodendrocyte_lineage	Gabarapl2
1.00077102643017e-289	0.973191075144074	0.673	0.39	1.47103333174971e-285	Oligodendrocyte_lineage	Dstn
1.8884594532088e-289	1.59012593675475	0.331	0.097	2.77584655027161e-285	Oligodendrocyte_lineage	Atp9a
2.12348753623748e-289	1.39663661764362	0.457	0.194	3.12131432951547e-285	Oligodendrocyte_lineage	Fnta
2.53672934628585e-289	1.87697261039718	0.299	0.079	3.72873846610556e-285	Oligodendrocyte_lineage	Srcin1
9.39157755555489e-288	0.815142029341572	0.81	0.565	1.38046798489101e-283	Oligodendrocyte_lineage	Sep15
3.13734008974784e-286	2.14419394692603	0.274	0.066	4.61157619792035e-282	Oligodendrocyte_lineage	Sema6a
3.7536959522874e-286	1.64167998439821	0.359	0.12	5.51755768026726e-282	Oligodendrocyte_lineage	Ube2e2
3.84665691348096e-284	1.46486856269242	0.413	0.158	5.65420099712567e-280	Oligodendrocyte_lineage	Smim15
2.03804132888576e-283	1.70683228654205	0.335	0.102	2.99571694932918e-279	Oligodendrocyte_lineage	Fam53b
7.14667254232175e-282	1.44958282954573	0.448	0.19	1.05048939699587e-277	Oligodendrocyte_lineage	Zdhhc20
7.74171857788089e-281	1.91145215811877	0.299	0.082	1.13795521376271e-276	Oligodendrocyte_lineage	Wipi1
1.81831132855743e-278	1.0048113467753	0.612	0.326	2.67273582184657e-274	Oligodendrocyte_lineage	Sptssa
5.92699031478921e-278	1.61355925315964	0.351	0.114	8.71208306370866e-274	Oligodendrocyte_lineage	Phlpp1
1.11256348598657e-276	1.1736962074364	0.523	0.246	1.63535706805165e-272	Oligodendrocyte_lineage	Rdx
5.99012835716696e-275	1.92118799695815	0.262	0.06	8.80488967219971e-271	Oligodendrocyte_lineage	Cdc42ep1
6.85918826532577e-273	0.78557052868731	0.792	0.551	1.00823208312023e-268	Oligodendrocyte_lineage	Hsbp1
3.3927908631583e-272	0.96261395383004	0.514	0.23	4.98706328975639e-268	Oligodendrocyte_lineage	Nap1l5
2.04060373842461e-269	1.55948616400258	0.359	0.124	2.99948343511033e-265	Oligodendrocyte_lineage	D1Ertd622e
2.42032696997658e-269	1.11613063461159	0.579	0.314	3.55763861316858e-265	Oligodendrocyte_lineage	Rab10
1.27157669675123e-268	2.10232672807673	0.254	0.06	1.86909058655463e-264	Oligodendrocyte_lineage	Vldlr
3.27566923859875e-267	0.96170750535592	0.654	0.39	4.8149062138163e-263	Oligodendrocyte_lineage	Ube2d2a
3.17238015080648e-265	0.933434286208409	0.437	0.179	4.66308158367045e-261	Oligodendrocyte_lineage	Hmgn2
1.86464454096284e-263	2.01485004507035	0.255	0.061	2.74084101076127e-259	Oligodendrocyte_lineage	Tmcc2
1.00272000780833e-260	1.07805324752558	0.582	0.312	1.47389813947746e-256	Oligodendrocyte_lineage	Pafah1b1
1.6437229933043e-260	1.56088483564329	0.347	0.118	2.416108427858e-256	Oligodendrocyte_lineage	Stxbp3
2.38297618534093e-259	1.43885102936908	0.383	0.144	3.50273669483263e-255	Oligodendrocyte_lineage	Bet1
2.67037887432603e-259	0.74583720469397	0.783	0.53	3.92518990737184e-255	Oligodendrocyte_lineage	1810037I17Rik
9.74269486926583e-255	1.0537089829023	0.589	0.33	1.43207871883338e-250	Oligodendrocyte_lineage	Eif4h
1.08299381987245e-254	2.20697530318208	0.25	0.063	1.59189261583052e-250	Oligodendrocyte_lineage	Sbf1
1.86836319820981e-253	1.55304101006069	0.352	0.127	2.7463070650486e-249	Oligodendrocyte_lineage	Pithd1
8.68409435857394e-252	1.80601344689463	0.278	0.078	1.27647502976678e-247	Oligodendrocyte_lineage	Hipk2
1.29083582003103e-251	1.61752205850596	0.294	0.085	1.8973995718636e-247	Oligodendrocyte_lineage	Cln8
2.64891532976546e-251	0.829658404291661	0.674	0.39	3.89364064322225e-247	Oligodendrocyte_lineage	Thra
4.74768515106007e-250	1.09236172124835	0.547	0.286	6.9786224035432e-246	Oligodendrocyte_lineage	Dnajc19
4.47685529428583e-249	1.56413580316082	0.328	0.107	6.58052959707074e-245	Oligodendrocyte_lineage	Chd7
7.2814895767811e-249	0.651689615930594	0.876	0.61	1.07030615289105e-244	Oligodendrocyte_lineage	Pcsk1n
